QueryId	SubjectId	Identity(%)	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
ThiM	BDSP01000016_1	42.308	26	15	0	48	73	119828	119751	3.3	30	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_3Lh338	118588	120965	-	119789.5
THIO	BDSP01000050_1	29.348	92	63	2	400	489	235927	235652	2.43e-4	45.4	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_1Hh144	234676	237034	-	235789.5
TPK1	BDSP01000061_1	46.718	259	120	6	4	251	20095	20850	5.01e-66	222	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_17Hh021	19827	21755	-	20472.5
SSSP	BDSP01000078_1	24.194	124	83	4	18	134	138987	139346	3.8	31.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_1Hh477	137876	142266	+	139166.5
Thi5	BDSP01000094_1	23.938	259	174	7	5	254	30038	29304	2.08e-10	62.8	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_6Hh163	26808	32155	-	29671
Thi5-like	BDSP01000097_1	25.541	231	146	8	149	366	60310	59657	6.06e-11	65.5	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Lh421	59337	60505	-	59983.5
THIF	BDSP01000111_1	53.556	450	196	2	11	454	478535	477207	8.29e-142	449	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_5Hh351	475630	478659	+	477871
THIG	BDSP01000122_1	35.714	56	34	1	181	234	141437	141270	0.002	40	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_24Hh155	140920	142355	-	141353.5
FOLR	BDSP01000147_1	100	279	0	0	1	279	104661	105497	0	588	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_9Hh048	104556	106516	+	105079
Thi4	BDSP01000204_1	41.86	43	25	0	88	130	22885	22757	0.12	35	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_20Hh007	20509	23605	-	22821
TH1	BDSP01000205_1	24.675	77	57	1	107	183	277210	276983	1.5	32.3	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_26Lh136	275691	277659	-	277096.5
DXS	BDSP01000223_1	82.482	685	106	4	52	731	421115	423142	0	1177	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_5Lh466	420555	423279	+	422128.5
ThiC	BDSP01000235_1	32.692	52	35	0	178	229	144187	144342	1.3	32.7	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_4Hh486	143696	147725	-	144264.5
TENA	BDSP01000253_1	59.259	108	44	0	45	152	405160	404837	8.28e-65	139	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_13Lh185	404137	405214	-	404998.5
THIF	BLYE01000001_1	64.912	171	60	0	105	275	281243	280731	4.63e-114	206	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:281243-280731				280987
SSSP	BLYE01000002_1	61.301	584	193	5	1	571	1397302	1398993	0	665	Nitzschia_putrida_Nputr_1.0	+	BLYE01000002_1:1397302-1398993				1398147.5
ThiC	BLYE01000004_1	45.714	35	19	0	91	125	407555	407659	2	32	Nitzschia_putrida_Nputr_1.0	+	BLYE01000004_1:407555-407659				407607
TH1	BLYE01000010_1	22.034	118	89	1	120	237	382283	381939	0.57	33.9	Nitzschia_putrida_Nputr_1.0	-	BLYE01000010_1:382283-381939				382111
Thi5-like	BLYE01000016_1	41.176	34	20	0	70	103	696523	696422	5.7	30	Nitzschia_putrida_Nputr_1.0	-	BLYE01000016_1:696523-696422				696472.5
ThiM	BLYE01000021_1	30.12	83	54	2	156	235	15081	15326	6.7	28.9	Nitzschia_putrida_Nputr_1.0	+	BLYE01000021_1:15081-15326				15203.5
TPK1	BLYE01000024_1	48.837	258	111	6	4	246	376641	375886	4.02e-69	231	Nitzschia_putrida_Nputr_1.0	-	BLYE01000024_1:376641-375886				376263.5
Thi5	BLYE01000046_1	30.952	42	28	1	192	232	98069	97944	3.4	30	Nitzschia_putrida_Nputr_1.0	-	BLYE01000046_1:98069-97944				98006.5
THIG	BLYE01000075_1	35.714	56	34	1	181	234	43206	43039	0.002	40.4	Nitzschia_putrida_Nputr_1.0	-	BLYE01000075_1:43206-43039				43122.5
DXS	BLYE01000093_1	30.709	127	81	5	423	545	37765	38136	7.05e-5	47	Nitzschia_putrida_Nputr_1.0	+	BLYE01000093_1:37765-38136				37950.5
FOLR	BLYE01000093_1	59.127	252	98	4	21	271	92953	92210	5.52e-96	309	Nitzschia_putrida_Nputr_1.0	-	BLYE01000093_1:92953-92210				92581.5
THIS	BLYE01000119_1	32.609	46	28	2	6	51	189543	189415	0.67	27.7	Nitzschia_putrida_Nputr_1.0	-	BLYE01000119_1:189543-189415				189479
THIO	BLYE01000132_1	32.258	62	38	2	109	168	72885	72706	2	32.3	Nitzschia_putrida_Nputr_1.0	-	BLYE01000132_1:72885-72706				72795.5
Thi4	BLYE01000158_1	52	25	12	0	86	110	104342	104416	1.3	31.6	Nitzschia_putrida_Nputr_1.0	+	BLYE01000158_1:104342-104416				104379
TENA	BLYE01000188_1	24.779	113	80	4	55	164	17998	17666	0.64	31.6	Nitzschia_putrida_Nputr_1.0	-	BLYE01000188_1:17998-17666				17832
SSSP	CAACVS010000021_1	62.807	285	105	1	3	286	53139	52285	1.51e-110	364	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0008960	51164	53315	-	52712
FOLR	CAACVS010000097_1	41.463	41	22	2	108	147	74705	74586	2.6	30.4	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0034000	71936	75087	+	74645.5
THIG	CAACVS010000123_1	35.714	56	34	1	181	234	72982	72815	0.001	40.8	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0041590	72495	74055	-	72898.5
ThiM	CAACVS010000130_1	41.86	43	24	1	125	167	503	378	1.2	31.6	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0043380	1	775	-	440.5
ThiC	CAACVS010000170_1	82.382	613	97	5	11	617	17613	15790	0	1019	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0053000	15536	17705	-	16701.5
Thi5	CAACVS010000190_1	44.444	36	19	1	254	288	1694	1801	3.2	30.4	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0056630	1	2245	-	1747.5
TPK1	CAACVS010000214_1	49.388	245	106	8	19	248	191073	190348	2.59e-61	209	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0061590	190257	191365	-	190710.5
THIS	CAACVS010000224_1	30.435	46	31	1	22	66	60910	60773	0.91	27.7	Pseudo-nitzschia_multistriata_ASM90066040v1	-	CAACVS010000224_1:60910-60773				60841.5
TH1	CAACVS010000225_1	53.772	623	241	8	4	579	227915	226047	0	597	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	226981
DXS	CAACVS010000420_1	76.045	718	108	4	77	731	9899	7749	0	1105	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0091530	7677	10045	-	8824
TENA	CAACVS010000564_1	61.753	251	70	3	1	226	14829	15578	3.23e-96	307	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0106000	14756	15729	+	15203.5
THIO	CAACVS010000647_1	56.533	750	257	13	85	770	129597	127363	0	771	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116010	127294	129925	-	128480
THIF	CAACVS010000650_1	49.738	382	160	2	105	454	48575	49720	1.57e-111	362	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116770	44786	49839	+	49147.5
Thi4	CAACVS010000694_1	50	36	13	1	87	117	72267	72374	0.21	34.7	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0124020	71606	78850	+	72320.5
THIO	CM000605_1	100	789	0	0	1	789	327763	330129	0	1606	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_31544	326727	330132	+	328946
FOLR	CM000607_1	23.81	42	32	0	228	269	271111	270986	0.72	31.2	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_44339	270131	272014	-	271048.5
THIF	CM000608_1	100	454	0	0	1	454	415071	416432	0	879	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_34373	415179	416435	+	415751.5
Thi4	CM000609_1	32.099	81	43	3	91	161	586156	586392	0.004	39.3	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_45243	585988	587784	+	586274
TENA	CM000609_1	100	152	0	0	1	152	615450	614995	4.01e-129	318	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_34896	614660	615450	-	615222.5
TPK1	CM000612_1	100	255	0	0	1	255	151649	150885	2.02e-174	532	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_5423	150912	151589	-	151267
TH1	CM000615_1	100	580	0	0	1	580	210541	212280	0	1142	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_47293	210541	212283	+	211410.5
ThiC	CM000617_1	89.565	345	0	1	1	309	28878	29912	0	630	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_38085	28878	31246	+	29395
THIG	CM000621_1	35.714	56	34	1	181	234	356027	356194	0.001	40	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_29885	354884	356561	+	356110.5
SSSP	CM000628_1	100	566	0	0	13	578	139437	137740	0	1090	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_50012	137357	139705	-	138588.5
THIS	CM000631_1	30.435	46	32	0	1	46	143715	143578	0.009	32.3	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_50377	141112	143701	-	143646.5
SSSP	CM000638_1	50.682	440	186	6	155	563	624331	623012	2.3e-137	371	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_20656	622048	625039	-	623671.5
ThiM	CM000638_1	38.462	39	24	0	193	231	1269875	1269991	4.5	28.9	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_1339	1269354	1270171	-	1269933
TPK1	CM000639_1	50	138	59	4	121	248	516017	515604	8.58e-34	129	Thalassiosira_pseudonana_ASM14940v2	-	CM000639_1:516017-515604				515810.5
THIF	CM000639_1	50.177	283	122	2	12	275	2517473	2516625	2.39e-110	256	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_261602	2515987	2517311	-	2517049
Thi4	CM000640_1	27.966	118	63	5	55	156	863249	862914	1.7	30.8	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_3397	861360	863378	-	863081.5
TENA	CM000641_1	64.039	203	72	1	24	225	207840	208448	2.93e-85	275	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_4111	207951	208416	+	208144
FOLR	CM000641_1	39.286	28	17	0	113	140	1673910	1673827	1.9	30	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_4691	1673133	1674608	+	1673868.5
TH1	CM000643_1	51.73	607	232	11	34	579	1453628	1451808	3.75e-176	553	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_262964	1452563	1453607	-	1452718
ThiC	CM000645_1	76.277	274	64	1	23	296	817458	818276	0	440	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_41733	817326	819659	+	817867
THIO	CM000646_1	50.134	748	312	16	73	785	437861	440026	0	599	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_263655	437921	439123	+	438943.5
THIS	CM000648_1	26.316	57	31	2	7	54	487358	487522	2.8	25.4	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_9460	485969	488194	+	487440
Thi5	CP001142_1	26.07	257	167	9	10	257	1171949	1171221	2.08e-10	62	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATR_33535	1171026	1172099	-	1171585
Thi5-like	CP001142_1	98.972	389	4	0	76	464	1172195	1171029	0	780	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATR_33535	1171026	1172099	-	1171612
Thi5	CP001160_1	25.306	245	168	6	4	242	284506	285213	2.94e-12	67.8	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPS_6708	284428	285432	+	284859.5
Thi5-like	CP001160_1	68.69	313	89	3	154	464	284512	285429	4.86e-140	444	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPS_6708	284428	285432	+	284970.5
DXS	CP001160_1	81.696	519	94	1	52	570	618641	620194	0	913	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPS_270312	618398	620968	+	619417.5
DXS	DS999284_1	100	731	0	0	1	731	18166	15974	0	1478	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_bd1689	15762	18609	-	17070
THIG	DS999448_1	83.209	268	45	0	1	268	3538	4341	4.86e-146	445	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_bd1620	3501	4541	+	3939.5
FOLR	JAACPG010000121_1	54.369	103	37	3	4	96	7251	7559	1.9e-24	102	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010000121_1:7251-7559				7405
Thi4	JAACPG010000301_1	48.718	39	20	0	92	130	3155	3039	5.08e-4	41.6	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010000301_1:3155-3039				3097
TH1	JAACPG010000413_1	54.781	617	220	7	11	579	569	2386	0	602	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010000413_1:569-2386				1477.5
TPK1	JAACPG010000447_1	56.977	172	68	4	4	171	3243	2734	2.3e-52	182	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010000447_1:3243-2734				2988.5
ThiC	JAACPG010000494_1	87.43	358	41	1	262	619	3516	2455	0	632	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010000494_1:3516-2455				2985.5
THIG	JAACPG010000560_1	30.357	56	37	1	181	234	76	243	0.011	36.6	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010000560_1:76-243				159.5
DXS	JAACPG010001008_1	26.667	135	88	4	410	539	4163	4549	0.002	40.8	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010001008_1:4163-4549				4356
THIO	JAACPG010001277_1	41.509	106	60	2	635	740	276	587	3.68e-25	81.3	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010001277_1:276-587				431.5
THIS	JAACPG010001641_1	32.558	43	29	0	14	56	262	390	2.3	25.4	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010001641_1:262-390				326
THIF	JAACPG010002227_1	33.023	430	241	14	59	454	390	1640	2.67e-48	177	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010002227_1:390-1640				1015
SSSP	JAACPG010002774_1	37.838	37	19	1	442	478	4524	4426	2.4	30.4	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010002774_1:4524-4426				4475
TENA	JAACPG010003106_1	66.154	260	54	1	1	226	3887	3108	8.56e-115	355	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010003106_1:3887-3108				3497.5
Thi5-like	JAACPG010003195_1	63.248	351	117	4	119	464	7011	8042	8.11e-138	437	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010003195_1:7011-8042				7526.5
Thi5	JAACPG010003195_1	25	300	186	7	4	286	7119	7952	3.22e-13	70.1	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010003195_1:7119-7952				7535.5
ThiM	JAACPG010003270_1	37.5	48	29	1	119	165	14515	14658	0.031	35	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010003270_1:14515-14658				14586.5
THIG	JAACSZ010000167_1	39.394	33	20	0	190	222	2710	2612	8.4	28.1	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010000167_1:2710-2612				2661
TPK1	JAACSZ010000501_1	56.977	172	68	4	4	171	7862	7353	4.52e-52	182	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010000501_1:7862-7353				7607.5
Thi5	JAACSZ010000764_1	35	40	20	2	122	158	15497	15607	1.3	31.2	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010000764_1:15497-15607				15552
SSSP	JAACSZ010000817_1	61.046	593	203	5	1	565	12465	14243	0	676	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010000817_1:12465-14243				13354
Thi5-like	JAACSZ010001070_1	40.741	54	26	3	372	423	4018	4167	5.7	29.6	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001070_1:4018-4167				4092.5
Thi4	JAACSZ010001165_1	48.718	39	20	0	92	130	7116	7000	0.001	41.6	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001165_1:7116-7000				7058
FOLR	JAACSZ010001268_1	54.369	103	37	3	4	96	353	45	3.5e-24	102	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001268_1:353-45				199
ThiC	JAACSZ010001335_1	87.43	358	41	1	262	619	6209	5148	0	632	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001335_1:6209-5148				5678.5
TENA	JAACSZ010001362_1	54.494	178	79	2	50	225	25558	26091	6.12e-61	206	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001362_1:25558-26091				25824.5
THIO	JAACSZ010001385_1	59.331	718	262	9	73	786	11900	13975	0	827	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001385_1:11900-13975				12937.5
THIF	JAACSZ010001403_1	47.682	453	181	9	58	454	89662	91020	2.92e-111	361	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001403_1:89662-91020				90341
ThiM	JAACSZ010001412_1	37.5	48	29	1	119	165	29144	29287	0.056	35	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001412_1:29144-29287				29215.5
DXS	JAACSZ010001495_1	81.818	704	99	2	52	727	12622	10514	0	1209	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001495_1:12622-10514				11568
THIS	JAACSZ010001544_1	50	20	10	0	20	39	26996	26937	1.5	26.6	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001544_1:26996-26937				26966.5
TH1	JAACSZ010001753_1	54.781	617	220	7	11	579	2543	4360	0	602	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001753_1:2543-4360				3451.5
Thi5-like	JAAFKC010000338_1	42.105	57	30	2	285	341	9187	9026	0.11	35.4	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010000338_1:9187-9026				9106.5
TPK1	JAAFKC010000933_1	46.237	93	28	1	185	255	9981	9703	8.76e-16	77	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010000933_1:9981-9703				9842
ThiM	JAAFKC010000951_1	23.585	106	59	4	115	220	8870	8619	1.7	30.4	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010000951_1:8870-8619				8744.5
THIF	JAAFKC010001210_1	51.332	413	178	4	61	454	3282	2056	6.46e-125	400	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010001210_1:3282-2056				2669
THIO	JAAFKC010001595_1	62.523	547	146	8	89	576	1797	157	0	613	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010001595_1:1797-157				977
FOLR	JAAFKC010001643_1	26.829	82	48	3	122	193	4114	4353	0.47	32.3	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010001643_1:4114-4353				4233.5
ThiC	JAAFKC010001670_1	75.867	663	101	4	11	619	4506	2533	0	1004	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010001670_1:4506-2533				3519.5
Thi4	JAAFKC010002248_1	41.071	56	33	0	75	130	635	802	1.02e-4	44.7	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010002248_1:635-802				718.5
DXS	JAAFKC010002472_1	87.923	679	81	1	53	731	1146	3179	0	1251	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010002472_1:1146-3179				2162.5
SSSP	JAAFKC010003499_1	53.191	94	32	2	1	82	3542	3823	2.2e-34	90.5	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010003499_1:3542-3823				3682.5
TH1	JAAFKC010004228_1	53.654	602	214	13	37	579	2785	998	3e-177	531	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010004228_1:2785-998				1891.5
THIS	JAAFKC010004496_1	70	70	21	0	1	70	2763	2554	2.09e-27	102	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010004496_1:2763-2554				2658.5
THIG	JAAFKC010005729_1	85.075	268	40	0	1	268	1041	1844	2.4e-158	457	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010005729_1:1041-1844				1442.5
TENA	JAAFKC010006204_1	68.889	45	14	0	10	54	137	3	1.06e-13	69.7	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010006204_1:137-3				70
TH1	KV784354_1	55.705	596	215	9	33	579	1271177	1272964	0	598	Fragilariopsis_cylindrus_Fracy1	+	gene-FRACYDRAFT_161112	1271189	1272175	+	1272070.5
THIS	KV784355_1	50	24	12	0	44	67	895111	895182	0.7	28.5	Fragilariopsis_cylindrus_Fracy1	+	gene-FRACYDRAFT_181541	894355	895362	-	895146.5
FOLR	KV784356_1	52.03	271	118	4	12	270	281647	280835	2.73e-89	291	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_268251	280678	281761	-	281241
DXS	KV784356_1	85.51	490	70	1	77	566	597731	596265	0	889	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_206899	595358	598286	-	596998
THIG	KV784357_1	35.714	56	34	1	181	234	294200	294033	0.006	39.3	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_268607	293572	295122	-	294116.5
TENA	KV784357_1	45.66	265	104	5	1	225	2330244	2329450	1.54e-72	240	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_184738	2329447	2330268	-	2329847
TPK1	KV784358_1	41.367	278	111	9	20	246	997838	998668	3.35e-56	194	Fragilariopsis_cylindrus_Fracy1	+	gene-FRACYDRAFT_186232	997697	998683	+	998253
ThiC	KV784358_1	79.798	594	109	5	30	617	1064906	1063140	0	941	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_225659	1063131	1065032	-	1064023
Thi4	KV784359_1	45	40	20	1	93	132	1133223	1133336	0.2	35	Fragilariopsis_cylindrus_Fracy1	+	gene-FRACYDRAFT_186494	1132995	1135018	+	1133279.5
Thi5	KV784364_1	29.464	112	78	1	2	113	884757	884425	4.71e-8	55.8	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_227553	883816	884778	-	884591
THIO	KV784364_1	51.549	807	251	15	86	770	945364	947730	0	734	Fragilariopsis_cylindrus_Fracy1	+	KV784364_1:945364-947730				946547
SSSP	KV784371_1	61.324	287	108	2	3	286	862042	861182	2.37e-174	351	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_157110	860319	861874	-	861612
THIF	KV784375_1	55.725	262	115	1	13	274	695027	694245	4.05e-120	267	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_194811	693595	694922	-	694636
Thi5-like	KV784397_1	69.108	314	90	3	153	464	42152	43078	6.76e-140	444	Fragilariopsis_cylindrus_Fracy1	+	KV784397_1:42152-43078				42615
SSSP	NKIB01000266_1	31.818	66	36	2	374	437	776	952	5	30.8	Asterionella_formosa_ASM225602v1	+	NKIB01000266_1:776-952				864
FOLR	NKIB01000939_1	35.897	39	25	0	133	171	15450	15334	0.69	32.3	Asterionella_formosa_ASM225602v1	-	NKIB01000939_1:15450-15334				15392
ThiC	NKIB01001105_1	80.301	599	109	4	25	619	23719	21938	0	984	Asterionella_formosa_ASM225602v1	-	NKIB01001105_1:23719-21938				22828.5
TPK1	NKIB01001231_1	54.887	266	100	5	1	251	10196	10978	2.82e-82	269	Asterionella_formosa_ASM225602v1	+	NKIB01001231_1:10196-10978				10587
Thi4	NKIB01008453_1	47.619	42	20	1	91	132	5838	5957	0.14	35.4	Asterionella_formosa_ASM225602v1	+	NKIB01008453_1:5838-5957				5897.5
Thi5-like	NKIB01011255_1	33.333	57	33	2	11	62	3427	3597	0.27	35	Asterionella_formosa_ASM225602v1	+	NKIB01011255_1:3427-3597				3512
TENA	NKIB01012336_1	72.197	223	62	0	3	225	62274	62942	1.49e-109	346	Asterionella_formosa_ASM225602v1	+	NKIB01012336_1:62274-62942				62608
