QueryId	SubjectId	Identity...	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
Thi5-like	BDSP01000097_1	25.541	231	146	8	149	366	60310	59657	6.06e-11	65.5	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Lh421	59337	60505	-	59983.5
THIF	BDSP01000111_1	53.556	450	196	2	11	454	478535	477207	8.29e-142	449	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_5Hh351	475630	478659	+	477871
FOLR	BDSP01000147_1	100	279	0	0	1	279	104661	105497	0	588	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_9Hh048	104556	106516	+	105079
DXS	BDSP01000223_1	82.482	685	106	4	52	731	421115	423142	0	1177	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_5Lh466	420555	423279	+	422128.5
TENA	BDSP01000253_1	59.259	108	44	0	45	152	405160	404837	8.28e-65	139	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_13Lh185	404137	405214	-	404998.5
THIF	BLYE01000001_1	64.912	171	60	0	105	275	281243	280731	4.63e-114	206	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:281243-280731				280987
SSSP	BLYE01000002_1	61.301	584	193	5	1	571	1397302	1398993	0	665	Nitzschia_putrida_Nputr_1.0	+	BLYE01000002_1:1397302-1398993				1398147.5
TPK1	BLYE01000024_1	48.837	258	111	6	4	246	376641	375886	4.02e-69	231	Nitzschia_putrida_Nputr_1.0	-	BLYE01000024_1:376641-375886				376263.5
DXS	BLYE01000093_1	30.709	127	81	5	423	545	37765	38136	7.05e-5	47	Nitzschia_putrida_Nputr_1.0	+	BLYE01000093_1:37765-38136				37950.5
FOLR	BLYE01000093_1	59.127	252	98	4	21	271	92953	92210	5.52e-96	309	Nitzschia_putrida_Nputr_1.0	-	BLYE01000093_1:92953-92210				92581.5
SSSP	CAACVS010000021_1	62.807	285	105	1	3	286	53139	52285	1.51e-110	364	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0008960	51164	53315	-	52712
THIG	CAACVS010000123_1	35.714	56	34	1	181	234	72982	72815	0.001	40.8	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0041590	72495	74055	-	72898.5
ThiC	CAACVS010000170_1	82.382	613	97	5	11	617	17613	15790	0	1019	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0053000	15536	17705	-	16701.5
TPK1	CAACVS010000214_1	49.388	245	106	8	19	248	191073	190348	2.59e-61	209	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0061590	190257	191365	-	190710.5
TH1	CAACVS010000225_1	53.772	623	241	8	4	579	227915	226047	0	597	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	226981
DXS	CAACVS010000420_1	76.045	718	108	4	77	731	9899	7749	0	1105	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0091530	7677	10045	-	8824
TENA	CAACVS010000564_1	61.753	251	70	3	1	226	14829	15578	3.23e-96	307	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0106000	14756	15729	+	15203.5
THIO	CAACVS010000647_1	56.533	750	257	13	85	770	129597	127363	0	771	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116010	127294	129925	-	128480
THIF	CAACVS010000650_1	49.738	382	160	2	105	454	48575	49720	1.57e-111	362	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116770	44786	49839	+	49147.5
THIO	CM000605_1	100	789	0	0	1	789	327763	330129	0	1606	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_31544	326727	330132	+	328946
THIF	CM000608_1	100	454	0	0	1	454	415071	416432	0	879	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_34373	415179	416435	+	415751.5
TENA	CM000609_1	100	152	0	0	1	152	615450	614995	4.01e-129	318	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_34896	614660	615450	-	615222.5
TPK1	CM000612_1	100	255	0	0	1	255	151649	150885	2.02e-174	532	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_5423	150912	151589	-	151267
TH1	CM000615_1	100	580	0	0	1	580	210541	212280	0	1142	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_47293	210541	212283	+	211410.5
ThiC	CM000617_1	89.565	345	0	1	1	309	28878	29912	0	630	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_38085	28878	31246	+	29395
THIG	CM000621_1	35.714	56	34	1	181	234	356027	356194	0.001	40	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_29885	354884	356561	+	356110.5
SSSP	CM000628_1	100	566	0	0	13	578	139437	137740	0	1090	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_50012	137357	139705	-	138588.5
SSSP	CM000638_1	50.682	440	186	6	155	563	624331	623012	2.3e-137	371	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_20656	622048	625039	-	623671.5
TPK1	CM000639_1	50	138	59	4	121	248	516017	515604	8.58e-34	129	Thalassiosira_pseudonana_ASM14940v2	-	CM000639_1:516017-515604				515810.5
THIF	CM000639_1	50.177	283	122	2	12	275	2517473	2516625	2.39e-110	256	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_261602	2515987	2517311	-	2517049
TENA	CM000641_1	64.039	203	72	1	24	225	207840	208448	2.93e-85	275	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_4111	207951	208416	+	208144
TH1	CM000643_1	51.73	607	232	11	34	579	1453628	1451808	3.75e-176	553	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_262964	1452563	1453607	-	1452718
ThiC	CM000645_1	76.277	274	64	1	23	296	817458	818276	0	440	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_41733	817326	819659	+	817867
THIO	CM000646_1	50.134	748	312	16	73	785	437861	440026	0	599	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_263655	437921	439123	+	438943.5
Thi5	CP001142_1	26.07	257	167	9	10	257	1171949	1171221	2.08e-10	62	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATR_33535	1171026	1172099	-	1171585
Thi5-like	CP001142_1	98.972	389	4	0	76	464	1172195	1171029	0	780	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATR_33535	1171026	1172099	-	1171612
Thi5	CP001160_1	25.306	245	168	6	4	242	284506	285213	2.94e-12	67.8	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPS_6708	284428	285432	+	284859.5
Thi5-like	CP001160_1	68.69	313	89	3	154	464	284512	285429	4.86e-140	444	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPS_6708	284428	285432	+	284970.5
DXS	CP001160_1	81.696	519	94	1	52	570	618641	620194	0	913	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPS_270312	618398	620968	+	619417.5
DXS	DS999284_1	100	731	0	0	1	731	18166	15974	0	1478	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_bd1689	15762	18609	-	17070
THIG	DS999448_1	83.209	268	45	0	1	268	3538	4341	4.86e-146	445	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_bd1620	3501	4541	+	3939.5
FOLR	JAACPG010000121_1	54.369	103	37	3	4	96	7251	7559	1.9e-24	102	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010000121_1:7251-7559				7405
Thi4	JAACPG010000301_1	48.718	39	20	0	92	130	3155	3039	5.08e-4	41.6	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010000301_1:3155-3039				3097
TH1	JAACPG010000413_1	54.781	617	220	7	11	579	569	2386	0	602	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010000413_1:569-2386				1477.5
TPK1	JAACPG010000447_1	56.977	172	68	4	4	171	3243	2734	2.3e-52	182	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010000447_1:3243-2734				2988.5
ThiC	JAACPG010000494_1	87.43	358	41	1	262	619	3516	2455	0	632	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010000494_1:3516-2455				2985.5
THIO	JAACPG010001277_1	41.509	106	60	2	635	740	276	587	3.68e-25	81.3	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010001277_1:276-587				431.5
THIF	JAACPG010002227_1	33.023	430	241	14	59	454	390	1640	2.67e-48	177	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010002227_1:390-1640				1015
TENA	JAACPG010003106_1	66.154	260	54	1	1	226	3887	3108	8.56e-115	355	Bacillariophyta_sp_ASM1036717v1	-	JAACPG010003106_1:3887-3108				3497.5
Thi5-like	JAACPG010003195_1	63.248	351	117	4	119	464	7011	8042	8.11e-138	437	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010003195_1:7011-8042				7526.5
Thi5	JAACPG010003195_1	25	300	186	7	4	286	7119	7952	3.22e-13	70.1	Bacillariophyta_sp_ASM1036717v1	+	JAACPG010003195_1:7119-7952				7535.5
TPK1	JAACSZ010000501_1	56.977	172	68	4	4	171	7862	7353	4.52e-52	182	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010000501_1:7862-7353				7607.5
SSSP	JAACSZ010000817_1	61.046	593	203	5	1	565	12465	14243	0	676	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010000817_1:12465-14243				13354
Thi4	JAACSZ010001165_1	48.718	39	20	0	92	130	7116	7000	0.001	41.6	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001165_1:7116-7000				7058
FOLR	JAACSZ010001268_1	54.369	103	37	3	4	96	353	45	3.5e-24	102	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001268_1:353-45				199
ThiC	JAACSZ010001335_1	87.43	358	41	1	262	619	6209	5148	0	632	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001335_1:6209-5148				5678.5
TENA	JAACSZ010001362_1	54.494	178	79	2	50	225	25558	26091	6.12e-61	206	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001362_1:25558-26091				25824.5
THIO	JAACSZ010001385_1	59.331	718	262	9	73	786	11900	13975	0	827	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001385_1:11900-13975				12937.5
THIF	JAACSZ010001403_1	47.682	453	181	9	58	454	89662	91020	2.92e-111	361	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001403_1:89662-91020				90341
DXS	JAACSZ010001495_1	81.818	704	99	2	52	727	12622	10514	0	1209	Bacillariophyta_sp_ASM1036716v1	-	JAACSZ010001495_1:12622-10514				11568
TH1	JAACSZ010001753_1	54.781	617	220	7	11	579	2543	4360	0	602	Bacillariophyta_sp_ASM1036716v1	+	JAACSZ010001753_1:2543-4360				3451.5
TPK1	JAAFKC010000933_1	46.237	93	28	1	185	255	9981	9703	8.76e-16	77	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010000933_1:9981-9703				9842
THIF	JAAFKC010001210_1	51.332	413	178	4	61	454	3282	2056	6.46e-125	400	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010001210_1:3282-2056				2669
THIO	JAAFKC010001595_1	62.523	547	146	8	89	576	1797	157	0	613	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010001595_1:1797-157				977
ThiC	JAAFKC010001670_1	75.867	663	101	4	11	619	4506	2533	0	1004	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010001670_1:4506-2533				3519.5
Thi4	JAAFKC010002248_1	41.071	56	33	0	75	130	635	802	1.02e-4	44.7	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010002248_1:635-802				718.5
DXS	JAAFKC010002472_1	87.923	679	81	1	53	731	1146	3179	0	1251	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010002472_1:1146-3179				2162.5
SSSP	JAAFKC010003499_1	53.191	94	32	2	1	82	3542	3823	2.2e-34	90.5	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010003499_1:3542-3823				3682.5
TH1	JAAFKC010004228_1	53.654	602	214	13	37	579	2785	998	3e-177	531	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010004228_1:2785-998				1891.5
THIS	JAAFKC010004496_1	70	70	21	0	1	70	2763	2554	2.09e-27	102	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010004496_1:2763-2554				2658.5
THIG	JAAFKC010005729_1	85.075	268	40	0	1	268	1041	1844	2.4e-158	457	Bacillariophyta_sp_ASM1329908v1	+	JAAFKC010005729_1:1041-1844				1442.5
TENA	JAAFKC010006204_1	68.889	45	14	0	10	54	137	3	1.06e-13	69.7	Bacillariophyta_sp_ASM1329908v1	-	JAAFKC010006204_1:137-3				70
TH1	KV784354_1	55.705	596	215	9	33	579	1271177	1272964	0	598	Fragilariopsis_cylindrus_Fracy1	+	gene-FRACYDRAFT_161112	1271189	1272175	+	1272070.5
FOLR	KV784356_1	52.03	271	118	4	12	270	281647	280835	2.73e-89	291	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_268251	280678	281761	-	281241
DXS	KV784356_1	85.51	490	70	1	77	566	597731	596265	0	889	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_206899	595358	598286	-	596998
TENA	KV784357_1	45.66	265	104	5	1	225	2330244	2329450	1.54e-72	240	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_184738	2329447	2330268	-	2329847
TPK1	KV784358_1	41.367	278	111	9	20	246	997838	998668	3.35e-56	194	Fragilariopsis_cylindrus_Fracy1	+	gene-FRACYDRAFT_186232	997697	998683	+	998253
ThiC	KV784358_1	79.798	594	109	5	30	617	1064906	1063140	0	941	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_225659	1063131	1065032	-	1064023
Thi5	KV784364_1	29.464	112	78	1	2	113	884757	884425	4.71e-8	55.8	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_227553	883816	884778	-	884591
THIO	KV784364_1	51.549	807	251	15	86	770	945364	947730	0	734	Fragilariopsis_cylindrus_Fracy1	+	KV784364_1:945364-947730				946547
SSSP	KV784371_1	61.324	287	108	2	3	286	862042	861182	2.37e-174	351	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_157110	860319	861874	-	861612
THIF	KV784375_1	55.725	262	115	1	13	274	695027	694245	4.05e-120	267	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_194811	693595	694922	-	694636
Thi5-like	KV784397_1	69.108	314	90	3	153	464	42152	43078	6.76e-140	444	Fragilariopsis_cylindrus_Fracy1	+	KV784397_1:42152-43078				42615
ThiC	NKIB01001105_1	80.301	599	109	4	25	619	23719	21938	0	984	Asterionella_formosa_ASM225602v1	-	NKIB01001105_1:23719-21938				22828.5
TPK1	NKIB01001231_1	54.887	266	100	5	1	251	10196	10978	2.82e-82	269	Asterionella_formosa_ASM225602v1	+	NKIB01001231_1:10196-10978				10587
TENA	NKIB01012336_1	72.197	223	62	0	3	225	62274	62942	1.49e-109	346	Asterionella_formosa_ASM225602v1	+	NKIB01012336_1:62274-62942				62608
DXS	NKIB01012851_1	87.398	492	61	1	76	567	2316	3788	0	905	Asterionella_formosa_ASM225602v1	+	NKIB01012851_1:2316-3788				3052
TH1	NKIB01013371_1	60.702	570	204	8	23	579	4732	3044	0	630	Asterionella_formosa_ASM225602v1	-	NKIB01013371_1:4732-3044				3888
THIF	NKIB01013590_1	55.066	454	185	5	11	454	41577	40243	1.69e-142	451	Asterionella_formosa_ASM225602v1	-	NKIB01013590_1:41577-40243				40910
THIS	NKIB01013960_1	56.061	66	29	0	5	70	10914	11111	2.47e-18	77.4	Asterionella_formosa_ASM225602v1	+	NKIB01013960_1:10914-11111				11012.5
THIG	NKIB01013960_1	83.209	268	45	0	1	268	35859	36662	1.47e-142	442	Asterionella_formosa_ASM225602v1	+	NKIB01013960_1:35859-36662				36260.5
THIO	NKIB01014556_1	58.627	568	199	10	13	575	35848	37458	0	629	Asterionella_formosa_ASM225602v1	+	NKIB01014556_1:35848-37458				36653
TPK1	OLMU01000581_1	54.104	268	99	7	6	249	8924	8121	2.26e-77	254	Licmophora_abbreviata_CCMP470	-	OLMU01000581_1:8924-8121				8522.5
THIF	OLMU01000795_1	54.78	387	136	2	107	454	599	1759	1.67e-128	405	Licmophora_abbreviata_CCMP470	+	OLMU01000795_1:599-1759				1179
THIO	OLMU01001464_1	69.877	488	130	8	79	554	847	2295	0	660	Licmophora_abbreviata_CCMP470	+	OLMU01001464_1:847-2295				1571
Thi5-like	OLMU01002431_1	64.286	336	107	4	135	464	1170	184	2.12e-146	427	Licmophora_abbreviata_CCMP470	-	OLMU01002431_1:1170-184				677
TH1	OLMU01002616_1	55.629	604	207	7	36	579	15308	13500	0	593	Licmophora_abbreviata_CCMP470	-	OLMU01002616_1:15308-13500				14404
TENA	OLMU01003438_1	76.316	152	36	0	1	152	25120	24665	2.46e-75	247	Licmophora_abbreviata_CCMP470	-	OLMU01003438_1:25120-24665				24892.5
DXS	OLMU01004926_1	79.932	588	79	3	16	566	12004	13761	0	946	Licmophora_abbreviata_CCMP470	+	OLMU01004926_1:12004-13761				12882.5
SSSP	OLMU01005381_1	67.85	479	149	2	87	565	5619	7040	0	623	Licmophora_abbreviata_CCMP470	+	OLMU01005381_1:5619-7040				6329.5
THIG	OLMU01005533_1	85.606	264	38	0	5	268	787	1578	2.59e-146	452	Licmophora_abbreviata_CCMP470	+	OLMU01005533_1:787-1578				1182.5
THIS	OLMU01005536_1	64.062	64	23	0	7	70	575	384	6.43e-22	86.7	Licmophora_abbreviata_CCMP470	-	OLMU01005536_1:575-384				479.5
Thi5	OLMU01005660_1	22.545	275	169	16	2	259	2706	1963	9.8e-7	50.4	Licmophora_abbreviata_CCMP470	-	OLMU01005660_1:2706-1963				2334.5
THIO	QAXB01005118_1	77.622	143	32	0	281	423	2	430	1.25e-73	236	Halamphora_sp_MG8b	+	QAXB01005118_1:2-430				216
DXS	QAXB01007216_1	91.971	137	11	0	168	304	411	1	1.89e-83	261	Halamphora_sp_MG8b	-	QAXB01007216_1:411-1				206
TH1	QAXB01030865_1	55.455	110	47	1	377	484	46	375	5.86e-37	134	Halamphora_sp_MG8b	+	QAXB01030865_1:46-375				210.5
SSSP	QAXB01031828_1	62.963	108	40	0	150	257	5	328	8.72e-40	141	Halamphora_sp_MG8b	+	QAXB01031828_1:5-328				166.5
Thi5	QAXB01032885_1	37.255	51	32	0	5	55	1559	1711	4.35e-4	42.4	Halamphora_sp_MG8b	+	QAXB01032885_1:1559-1711				1635
TENA	QAXB01034449_1	60.396	101	17	1	105	182	803	501	1.18e-46	129	Halamphora_sp_MG8b	-	QAXB01034449_1:803-501				652
TPK1	QAXB01047145_1	50.595	168	79	3	2	166	556	56	3.06e-51	171	Halamphora_sp_MG8b	-	QAXB01047145_1:556-56				306
THIF	QAXB01048911_1	60.101	396	155	2	61	454	2109	925	1.68e-146	450	Halamphora_sp_MG8b	-	QAXB01048911_1:2109-925				1517
FOLR	QAXB01050104_1	62.857	105	38	1	62	165	2	316	8.07e-40	146	Halamphora_sp_MG8b	+	QAXB01050104_1:2-316				159
Thi5-like	QAXB01050768_1	65.426	188	61	1	277	464	1103	552	1.76e-80	254	Halamphora_sp_MG8b	-	QAXB01050768_1:1103-552				827.5
Thi4	QAXC01000002_1	40.476	42	25	0	91	132	500074	500199	6.04e-4	41.6	Halamphora_sp_AAB	+	QAXC01000002_1:500074-500199				500136.5
THIG	QAXC01000003_1	48.235	255	124	2	8	262	1208464	1207724	1.43e-64	218	Halamphora_sp_AAB	-	QAXC01000003_1:1208464-1207724				1208094
TH1	QAXC01000003_1	35.727	557	275	14	32	575	1210894	1209434	6.45e-76	263	Halamphora_sp_AAB	-	QAXC01000003_1:1210894-1209434				1210164
ThiC	QAXC01000003_1	61.444	568	142	5	109	599	1212623	1210920	0	677	Halamphora_sp_AAB	-	QAXC01000003_1:1212623-1210920				1211771.5
THIO	QAXC01000004_1	32.271	251	149	10	232	472	215543	214824	5.27e-17	86.3	Halamphora_sp_AAB	-	QAXC01000004_1:215543-214824				215183.5
DXS	QAXC01000004_1	41.854	669	321	14	55	717	1443312	1441492	6.4e-157	504	Halamphora_sp_AAB	-	QAXC01000004_1:1443312-1441492				1442402
Thi5-like	QAXC01001892_1	26.86	242	168	5	154	393	1147	443	1.45e-15	79	Halamphora_sp_AAB	-	QAXC01001892_1:1147-443				795
Thi5	QAXC01001892_1	26.394	269	179	5	2	266	1159	398	1.72e-29	119	Halamphora_sp_AAB	-	QAXC01001892_1:1159-398				778.5
ThiM	QAXC01003315_1	38.865	229	121	3	9	237	644	15	2.07e-30	118	Halamphora_sp_AAB	-	QAXC01003315_1:644-15				329.5
SSSP	QAXC01003832_1	29.947	187	116	7	56	238	1234	1761	4.36e-6	49.7	Halamphora_sp_AAB	+	QAXC01003832_1:1234-1761				1497.5
THIF	QAXC01003902_1	38.01	392	211	9	60	446	576	1670	1.32e-62	214	Halamphora_sp_AAB	+	QAXC01003902_1:576-1670				1123
TENA	QAXC01006055_1	26.923	208	142	5	10	213	1619	2224	8.64e-12	63.5	Halamphora_sp_AAB	+	QAXC01006055_1:1619-2224				1921.5
TPK1	QPGO01000057_1	52.381	252	102	6	20	253	371040	371795	8.12e-76	251	Psammoneis_japonica_ASM863298v1	+	QPGO01000057_1:371040-371795				371417.5
THIF	QPGO01000094_1	53.633	289	108	3	11	275	34813	33953	1.63e-114	265	Psammoneis_japonica_ASM863298v1	-	QPGO01000094_1:34813-33953				34383
TENA	QPGO01000097_1	64.961	254	61	1	1	226	117908	117147	2.33e-110	348	Psammoneis_japonica_ASM863298v1	-	QPGO01000097_1:117908-117147				117527.5
DXS	QPGO01000173_1	81.473	448	58	2	306	729	76113	74773	0	748	Psammoneis_japonica_ASM863298v1	-	QPGO01000173_1:76113-74773				75443
TH1	QPGO01000173_1	57.088	261	108	2	323	579	150466	151248	1.64e-91	310	Psammoneis_japonica_ASM863298v1	+	QPGO01000173_1:150466-151248				150857
ThiC	QPGO01000179_1	79.253	482	54	3	178	617	78777	77344	0	755	Psammoneis_japonica_ASM863298v1	-	QPGO01000179_1:78777-77344				78060.5
THIG	QPGO01000186_1	66.667	36	12	0	56	91	131566	131459	4.85e-4	33.5	Psammoneis_japonica_ASM863298v1	-	QPGO01000186_1:131566-131459				131512.5
THIO	QPGO01000424_1	66	550	170	7	29	577	20275	21876	0	681	Psammoneis_japonica_ASM863298v1	+	QPGO01000424_1:20275-21876				21075.5
THIG	scaffold_103170	95.238	21	1	0	113	133	2	64	5.06e-7	47.4	Cyclotella_cryptica_Cyccr1	+	scaffold_103170:2-64				33
TH1	scaffold_10691	52.852	263	116	4	325	579	4412	3624	3.27e-140	266	Cyclotella_cryptica_Cyccr1	-	gene_582	3618	5530	-	4018
ThiC	scaffold_124	79.705	611	115	4	11	617	118075	116258	0	990	Pseudo-nitzschia_multiseries_Psemu1	-	"""estExt_Genewise1Plus.C_1240062"""	116249	118126	-	117166.5
TPK1	scaffold_14726	47.887	142	60	4	121	248	636	1061	1.29e-32	127	Cyclotella_cryptica_Cyccr1	+	gene_2720	1	1070	+	848.5
TPK1	scaffold_1605	44.891	274	107	6	19	251	20193	21005	1.77e-62	214	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_Genewise1Plus.C_16050006"""	20499	21014	+	20599
DXS	scaffold_163	86.29	496	67	1	71	566	127219	128703	0	905	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_Genemark1.C_1630038"""	127237	128698	+	127961
TENA	scaffold_2416	61.345	238	76	3	1	223	7481	6771	2.84e-91	295	Pseudo-nitzschia_multiseries_Psemu1	-	"""e_gw1.2416.4.1"""	6753	7517	-	7126
THIO	scaffold_2973	52.795	805	297	16	37	770	5543	3165	0	742	Pseudo-nitzschia_multiseries_Psemu1	-	"""e_gw1.2973.5.1"""	3834	5426	-	4354
TENA	scaffold_3942	57.371	251	80	2	3	226	41335	40583	7.22e-93	299	Cyclotella_cryptica_Cyccr1	-	gene_7260	40565	41338	-	40959
TH1	scaffold_412	54.726	603	239	6	11	579	40496	42304	0	594	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_fgenesh1_pm.C_4120005"""	41199	42313	+	41400
