QueryId	SubjectId	Identity(%)	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_upstream	G_downstream	S_Center	RM	ID
FcSSSP	BDSP01000097_1	96	25	1	0	6	30	59247	59223	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Lh422	gene-FisN_2Lh423	gene-FisN_2Lh421	59235	F	87
FcSSSP	BDSP01000097_1	96	25	1	0	6	30	60874	60850	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Lh420	gene-FisN_2Lh421	gene-FisN_2Lh419	60862	F	88
FcSSSP	BDSP01000097_1	96	25	1	0	6	30	62375	62351	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Lh419	gene-FisN_2Lh420	gene-FisN_2Lu436	62363	F	89
FcSSSP	BDSP01000100_1	100	14	0	0	5	18	197991	198004	3.1	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_22Hh133	gene-FisN_22Hh134	gene-FisN_22Hh132	197997.5	F	90
PtTHIC	BDSP01000102_1	100	14	0	0	7	20	344400	344387	3.1	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_3Hh261	gene-FisN_3Hh262	gene-FisN_3Hh260	344393.5	F	91
PtTHIC	BDSP01000103_1	100	14	0	0	12	25	30751	30764	3.1	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_35Hh010	gene-FisN_35Hh009	gene-FisN_35Hh011	30757.5	F	92
TpSSSP	BDSP01000114_1	100	16	0	0	13	28	215827	215842	0.21	32.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_10Lh108	gene-FisN_10Lh107	gene-FisN_10Lh110	215834.5	F	93
TpTHI1	BDSP01000117_1	100	14	0	0	12	25	294128	294141	3.1	28.2	Fistulifera_solaris_Fsol_1.0	+	BDSP01000117_1:294128-294141	gene-FisN_5Hh143	gene-FisN_5Hh144	294134.5	F	94
PtTHIC	BDSP01000118_1	100	14	0	0	14	27	124474	124487	3.1	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_18Lh210	gene-FisN_18Lh209	gene-FisN_18Lh211	124480.5	F	95
FcTHIC	BDSP01000123_1	100	14	0	0	16	29	511285	511272	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_18Hh221	gene-FisN_18Hh220	gene-FisN_18Hh222	511278.5	F	96
TpSSSP	BDSP01000124_1	100	14	0	0	10	23	348727	348714	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_25Hh148	gene-FisN_25Hh147	gene-FisN_25Hh149	348720.5	F	97
TpSSSP	BDSP01000127_1	100	16	0	0	2	17	103777	103792	0.21	32.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_23Hh223	gene-FisN_23Hh222	gene-FisN_23Hh224	103784.5	F	98
PtSSSP	BDSP01000134_1	100	14	0	0	1	14	124537	124524	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_3Lu057	gene-FisN_3Lh050	gene-FisN_3Lh051	124530.5	F	99
FcTHIC	BDSP01000137_1	100	14	0	0	22	35	401619	401632	3.3	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_19Hh183	gene-FisN_19Hh182	gene-FisN_19Hh184	401625.5	F	100
FcTHIC	BDSP01000141_1	100	14	0	0	15	28	238755	238742	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_1Lh581	gene-FisN_1Lh582	gene-FisN_1Lh580	238748.5	F	101
FcSSSP	BDSP01000147_1	96	25	1	0	6	30	43453	43429	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_9Hh020	gene-FisN_9Hh019	gene-FisN_9Hu021	43441	F	102
FcSSSP	BDSP01000147_1	96	25	1	0	6	30	49687	49663	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_9Hh026	gene-FisN_9Hh025	gene-FisN_9Hh027	49675	F	103
PtSSSP	BDSP01000147_1	87.097	31	4	0	1	31	105646	105676	0.83	30.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_9Hh048	gene-FisN_9Hh047	gene-FisN_9Hh049	105661	F	104
PtSSSP	BDSP01000170_1	100	14	0	0	8	21	17378	17365	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_29Hu011	gene-FisN_29Hu010	gene-FisN_29Hu012	17371.5	F	105
PmSSSP	BDSP01000172_1	100	14	0	0	1	14	128563	128550	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_31Lh071	gene-FisN_31Lh070	gene-FisN_31Lh072	128556.5	F	106
PmSSSP	BDSP01000184_1	100	14	0	0	3	16	65875	65862	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_14Hh023	gene-FisN_14Hh022	gene-FisN_14Hh024	65868.5	F	107
TpTHI1	BDSP01000199_1	100	14	0	0	2	15	132075	132088	3.1	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_21Hh054	gene-FisN_21Hh055	gene-FisN_21Hh053	132081.5	F	108
PtTHIC	BDSP01000209_1	100	14	0	0	10	23	141929	141916	3.1	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Hu017	gene-FisN_2Hu018	gene-FisN_2Hh016	141922.5	F	109
PtTHIC	BDSP01000212_1	94.444	18	1	0	11	28	75290	75273	3.1	28.2	Fistulifera_solaris_Fsol_1.0	-	BDSP01000212_1:75290-75273	gene-FisN_21Lh257	gene-FisN_21Lh256	75281.5	F	110
TpTHI1	BDSP01000223_1	100	14	0	0	2	15	30272	30285	3.1	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_5Lh295	gene-FisN_5Lh294	gene-FisN_5Lh297	30278.5	F	111
PtTHIC	BDSP01000228_1	100	14	0	0	2	15	135998	136011	3.1	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_28Hh064	gene-FisN_28Hh063	gene-FisN_28Hh065	136004.5	F	112
PmSSSP	BDSP01000230_1	100	14	0	0	3	16	55265	55252	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_14Lh023	gene-FisN_14Lh022	gene-FisN_14Lh024	55258.5	F	113
PtTHIC	BDSP01000233_1	100	15	0	0	18	32	40452	40466	0.79	30.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_17Lu232	gene-FisN_17Lh220	gene-FisN_17Lh219	40459	F	114
TpSSSP	BDSP01000242_1	100	14	0	0	18	31	67088	67075	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Hh185	gene-FisN_2Hh186	gene-FisN_2Hh184	67081.5	F	115
FcSSSP	BDSP01000251_1	96	25	1	0	6	30	36519	36495	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	-	BDSP01000251_1:36519-36495	gene-FisN_2Hh422	gene-FisN_2Hh421	36507	F	116
TpTHI1	BDSP01000251_1	92.593	27	2	0	7	33	36519	36493	0.003	38.2	Fistulifera_solaris_Fsol_1.0	-	BDSP01000251_1:36519-36493	gene-FisN_2Hh422	gene-FisN_2Hh421	36506	F	117
FcTHIC	BDSP01000251_1	92	25	2	0	7	31	36519	36495	0.053	34.2	Fistulifera_solaris_Fsol_1.0	-	BDSP01000251_1:36519-36495	gene-FisN_2Hh422	gene-FisN_2Hh421	36507	F	118
FcSSSP	BDSP01000251_1	96	25	1	0	6	30	38144	38120	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Hh420	gene-FisN_2Hh421	gene-FisN_2Hh419	38132	F	119
FcSSSP	BDSP01000251_1	96	25	1	0	6	30	39657	39633	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Hh419	gene-FisN_2Hh420	gene-FisN_2Hu417	39645	F	120
PtTHIC	BDSP01000251_1	100	18	0	0	8	25	64858	64875	0.013	36.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_2Hh410	gene-FisN_2Hh411	gene-FisN_2Hu408	64866.5	F	121
PtSSSP	BDSP01000252_1	87.097	31	4	0	1	31	37938	37968	0.83	30.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_9Lh048	gene-FisN_9Lh047	gene-FisN_9Lh049	37953	F	122
TpSSSP	BDSP01000266_1	100	14	0	0	4	17	130138	130151	3.3	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_6Lh003	gene-FisN_6Lh004	gene-FisN_6Lh002	130144.5	F	123
FcTHIC	BLYE01000001_1	100	14	0	0	12	25	890134	890121	3.1	28.2	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:890134-890121			890127.5	F	124
TpTHI1	BLYE01000001_1	100	14	0	0	3	16	1675926	1675913	3	28.2	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:1675926-1675913			1675919.5	F	125
PtTHIC	BLYE01000001_1	94.444	18	1	0	18	35	2560735	2560752	3	28.2	Nitzschia_putrida_Nputr_1.0	+	BLYE01000001_1:2560735-2560752			2560743.5	F	126
PtTHIC	BLYE01000001_1	94.444	18	1	0	1	18	3749549	3749532	3	28.2	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:3749549-3749532			3749540.5	F	127
TpSSSP	BLYE01000002_1	100	15	0	0	5	19	751729	751743	0.79	30.2	Nitzschia_putrida_Nputr_1.0	+	BLYE01000002_1:751729-751743			751736	F	128
PtSSSP	BLYE01000002_1	91.667	36	3	0	1	36	1399321	1399356	3.35e-6	48.1	Nitzschia_putrida_Nputr_1.0	+	BLYE01000002_1:1399321-1399356			1399338.5	F	129
