QueryId	SubjectId	Identity...	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
PtDXS	CAACVS010000420_1	76.045	718	108	4	77	731	9899	7749	0	1105	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0091530	7677	10045	-	8824
PtTHIO	CAACVS010000647_1	56.533	750	257	13	85	770	129597	127363	0	771	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116010	127294	129925	-	128480
PtTHIF	CAACVS010000650_1	49.738	382	160	2	105	454	48575	49720	1.57e-111	362	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116770	44786	49839	+	49147.5
PtTHIO	CM000605_1	100	789	0	0	1	789	327763	330129	0	1606	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_31544	326727	330132	+	328946
PtTHIF	CM000608_1	100	454	0	0	1	454	415071	416432	0	879	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_34373	415179	416435	+	415751.5
PtTPK	CM000612_1	100	255	0	0	1	255	151649	150885	2.02e-174	532	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_5423	150912	151589	-	151267
PtTH1	CM000615_1	100	580	0	0	1	580	210541	212280	0	1142	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_47293	210541	212283	+	211410.5
PtTHIC	CM000617_1	89.565	345	0	1	1	309	28878	29912	0	630	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_38085	28878	31246	+	29395
PtTHIG	CM000621_1	35.714	56	34	1	181	234	356027	356194	0.001	40	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_29885	354884	356561	+	356110.5
PtSSSP	CM000628_1	100	566	0	0	13	578	139437	137740	0	1090	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_50012	137357	139705	-	138588.5
PtSSSP	CM000638_1	50.682	440	186	6	155	563	624331	623012	2.3e-137	371	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_20656	622048	625039	-	623671.5
PtTPK	CM000639_1	50	138	59	4	121	248	516017	515604	8.58e-34	129	Thalassiosira_pseudonana_ASM14940v2	-					515810.5
PtTHIF	CM000639_1	50.177	283	122	2	12	275	2517473	2516625	2.39e-110	256	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_261602	2515987	2517311	-	2517049
PtTH1	CM000643_1	51.73	607	232	11	34	579	1453628	1451808	3.75e-176	553	Thalassiosira_pseudonana_ASM14940v2	-	gene-THAPSDRAFT_262964	1452563	1453607	-	1452718
PtTHIC	CM000645_1	76.277	274	64	1	23	296	817458	818276	0	440	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_41733	817326	819659	+	817867
PtTHIO	CM000646_1	50.134	748	312	16	73	785	437861	440026	0	599	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_263655	437921	439123	+	438943.5
PtNMT1	CP001142_1	98.972	389	4	0	76	464	1172195	1171029	0	780	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATR_33535	1171026	1172099	-	1171612
PtNMT1	CP001160_1	68.69	313	89	3	154	464	284512	285429	4.86e-140	444	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPS_6708	284428	285432	+	284970.5
PtDXS	CP001160_1	81.696	519	94	1	52	570	618641	620194	0	913	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPS_270312	618398	620968	+	619417.5
PtDXS	DS999284_1	100	731	0	0	1	731	18166	15974	0	1478	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_bd1689	15762	18609	-	17070
PtTHIG	DS999448_1	83.209	268	45	0	1	268	3538	4341	4.86e-146	445	Thalassiosira_pseudonana_ASM14940v2	+	gene-THAPSDRAFT_bd1620	3501	4541	+	3939.5
PtTH1	KV784354_1	55.705	596	215	9	33	579	1271177	1272964	0	598	Fragilariopsis_cylindrus_Fracy1	+	gene-FRACYDRAFT_161112	1271189	1272175	+	1272070.5
FsFOLR	KV784356_1	52.03	271	118	4	12	270	281647	280835	2.73e-89	291	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_268251	280678	281761	-	281241
PtDXS	KV784356_1	85.51	490	70	1	77	566	597731	596265	0	889	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_206899	595358	598286	-	596998
PtTPK	KV784358_1	41.367	278	111	9	20	246	997838	998668	3.35e-56	194	Fragilariopsis_cylindrus_Fracy1	+	gene-FRACYDRAFT_186232	997697	998683	+	998253
PtTHIC	KV784358_1	79.798	594	109	5	30	617	1064906	1063140	0	941	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_225659	1063131	1065032	-	1064023
PtTHIO	KV784364_1	51.549	807	251	15	86	770	945364	947730	0	734	Fragilariopsis_cylindrus_Fracy1	+					946547
PtSSSP	KV784371_1	61.324	287	108	2	3	286	862042	861182	2.37e-174	351	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_157110	860319	861874	-	861612
PtTHIF	KV784375_1	55.725	262	115	1	13	274	695027	694245	4.05e-120	267	Fragilariopsis_cylindrus_Fracy1	-	gene-FRACYDRAFT_194811	693595	694922	-	694636
PtNMT1	KV784397_1	69.108	314	90	3	153	464	42152	43078	6.76e-140	444	Fragilariopsis_cylindrus_Fracy1	+					42615
PtTHIG	scaffold_103170	95.238	21	1	0	113	133	2	64	5.06e-7	47.4	Cyclotella_cryptica_Cyccr1	+					33
PtTH1	scaffold_10691	52.852	263	116	4	325	579	4412	3624	3.27e-140	266	Cyclotella_cryptica_Cyccr1	-	gene_582	3618	5530	-	4018
PtTHIC	scaffold_124	79.705	611	115	4	11	617	118075	116258	0	990	Pseudo-nitzschia_multiseries_Psemu1	-	"""estExt_Genewise1Plus.C_1240062"""	116249	118126	-	117166.5
PtTPK	scaffold_14726	47.887	142	60	4	121	248	636	1061	1.29e-32	127	Cyclotella_cryptica_Cyccr1	+	gene_2720	1	1070	+	848.5
PtTPK	scaffold_1605	44.891	274	107	6	19	251	20193	21005	1.77e-62	214	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_Genewise1Plus.C_16050006"""	20499	21014	+	20599
PtDXS	scaffold_163	86.29	496	67	1	71	566	127219	128703	0	905	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_Genemark1.C_1630038"""	127237	128698	+	127961
PtTHIO	scaffold_2973	52.795	805	297	16	37	770	5543	3165	0	742	Pseudo-nitzschia_multiseries_Psemu1	-	"""e_gw1.2973.5.1"""	3834	5426	-	4354
PtTH1	scaffold_412	54.726	603	239	6	11	579	40496	42304	0	594	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_fgenesh1_pm.C_4120005"""	41199	42313	+	41400
PtNMT1	scaffold_42	68.051	313	90	4	154	464	332612	333526	1.17e-137	439	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_fgenesh1_pm.C_420005"""	332601	333529	+	333069
PtSSSP	scaffold_4214	38.462	143	56	2	155	265	7310	7738	2.46e-75	99	Cyclotella_cryptica_Cyccr1	+	gene_8996	6535	9073	+	7524
PtTHIC	scaffold_4249	73.869	199	48	2	73	271	6937	7521	2.9e-92	308	Cyclotella_cryptica_Cyccr1	+	gene_9184	6474	8884	+	7229
PtTHIO	scaffold_4408	50.892	729	305	14	91	786	13847	15973	0	605	Cyclotella_cryptica_Cyccr1	+	gene_9996	13673	16249	+	14910
PtTHIF	scaffold_5	46.789	327	121	4	1	274	11803	10823	2.49e-112	244	Pseudo-nitzschia_multiseries_Psemu1	-	"""fgenesh1_pm.5_#_4"""	10821	11334	-	11313
PtDXS	scaffold_5316	82.718	515	88	1	54	568	11337	12878	0	914	Cyclotella_cryptica_Cyccr1	+	gene_13448	11178	13528	+	12107.5
PtTHIF	scaffold_8901	54.959	242	91	2	52	275	200	925	5.55e-72	249	Cyclotella_cryptica_Cyccr1	+	gene_19958	1	1605	+	562.5
PtSSSP	scaffold_99	62.937	286	104	2	3	286	284652	283795	1.05e-112	372	Pseudo-nitzschia_multiseries_Psemu1	-	"""estExt_Genewise1Plus.C_990054"""	283795	284574	-	284223.5
PtTHIO	scaffold00005	51.72	756	265	16	90	784	785066	782916	0	703	Synedra_acus_sac1	-	15420-gene	782892	785282	-	783991
PtTH1	scaffold00017	54.483	580	224	9	36	579	275748	274021	0	581	Synedra_acus_sac1	-	21613-gene	274015	275784	-	274884.5
PtTPK	scaffold00091	51.852	216	93	6	19	223	135683	135036	1.25e-58	202	Synedra_acus_sac1	-	4907-gene	135045	135758	-	135359.5
PtDXS	scaffold00328	80.468	727	115	4	17	720	51327	49159	0	1181	Synedra_acus_sac1	-	23730-gene	49194	51736	-	50243
PtTHIC	scaffold00411	81.894	602	97	4	25	619	39485	37695	0	999	Synedra_acus_sac1	-	2740-gene	37656	39641	-	38590
PtTHIG	scaffold00637	48.249	257	126	3	6	262	18461	19210	2.74e-68	230	Synedra_acus_sac1	+	20708-gene	17851	23331	+	18835.5
PtTHIF	scaffold01719	54.267	457	196	4	11	454	1717	347	4.53e-149	468	Synedra_acus_sac1	-	26914-gene	344	2254	-	1032
PtTHIS	Sro_chlor_contig51	67.143	70	23	0	1	70	15916	16125	1.25e-24	96.3	Seminavis_robusta_version1.2	+	Sro51_chlor_g029420	15746	16128	+	16020.5
PtTHIG	Sro_chlor_contig51	85.075	268	40	0	1	268	58208	57405	1.47e-146	455	Seminavis_robusta_version1.2	-	Sro51_chlor_g029930	57402	58208	-	57806.5
PtTPK	Sro_contig103	49.419	172	75	4	90	249	47749	47234	3.54e-60	157	Seminavis_robusta_version1.2	-	Sro103_g052470	47216	48054	-	47491.5
PtTHIF	Sro_contig1881	62.673	217	81	0	59	275	2290	1640	8.8e-80	271	Seminavis_robusta_version1.2	-	Sro1881_g303260	872	2990	-	1965
PtDXS	Sro_contig197	77.946	594	90	4	11	566	19442	21214	0	936	Seminavis_robusta_version1.2	+	Sro197_g083720	18486	24020	+	20328
PtTH1	Sro_contig3058	58.663	329	130	3	258	580	6936	5950	9.37e-166	365	Seminavis_robusta_version1.2	-	Sro3058_g342900	5947	7739	-	6443
PtTHIO	Sro_contig399	59.322	708	245	9	84	782	53133	55154	0	822	Seminavis_robusta_version1.2	+	Sro399_g134930	53091	55801	+	54143.5
PtSSSP	Sro_contig435	68.498	546	159	3	1	535	32742	31111	0	703	Seminavis_robusta_version1.2	-	Sro435_g142330	30985	32742	-	31926.5
PtTHIC	Sro_contig446	85.754	358	47	1	262	619	43831	44892	0	619	Seminavis_robusta_version1.2	+	Sro446_g144700	42554	45358	+	44361.5
