Genome	ThiC	Thi5	Thi5-like	SSSP	TH1	THIO	THIS	THIF	DXS	THIG	TPK1	FOLR	Thi4	ThiM	TENA
Cyclotella_cryptica_Cyccr1	gene_9184	NA	NA	gene_8996	gene_582	gene_9996	NA	gene_19958	gene_13448	scaffold_103170:2-64	gene_2720	NA	NA	NA	gene_7260
Cyclotella_cryptica_ASM1318728v1	CCRYP_003000_size1082546-augustus-gene-3.15	NA	NA	CCRYP_007409_size693783-snap-gene-4.23	CCRYP_000796_size1839819-augustus-gene-2.35	CCRYP_008169_size654149-processed-gene-1.26	NA	CCRYP_004866_size906611-augustus-gene-0.14	CCRYP_002852_size1113722-snap-gene-3.3	NA	CCRYP_005566_size842038-augustus-gene-1.3	NA	NA	NA	CCRYP_009563_size565204-processed-gene-4.50
Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_32799	AGNL01021096_1:342-7	gene-THAOC_16380	gene-THAOC_32646	gene-THAOC_02597	gene-THAOC_16086	AGNL01043102_1:56214-56423	gene-THAOC_02042	gene-THAOC_11764	AGNL01043102_1:53839-53039	gene-THAOC_37245	NA	NA	NA	gene-THAOC_25271
Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_41733	gene-THAPS_6708	gene-THAPS_6708	gene-THAPSDRAFT_20656	gene-THAPSDRAFT_262964	gene-THAPSDRAFT_263655	NA	gene-THAPSDRAFT_261602	gene-THAPS_270312	gene-THAPSDRAFT_bd1620	CM000639_1:516017-515604	NA	NA	NA	gene-THAPSDRAFT_4111
Asterionella_formosa_ASM225602v1	NKIB01001105_1:23719-21938	NA	NA	NA	NKIB01013371_1:4732-3044	NKIB01014556_1:35848-37458	NKIB01013960_1:10914-11111	NKIB01013590_1:41577-40243	NKIB01012851_1:2316-3788	NKIB01013960_1:35859-36662	NKIB01001231_1:10196-10978	NA	NA	NA	NKIB01012336_1:62274-62942
Asterionellopsis_glacialis_ASM1488511v2	WKLE02001293_1:18349-20100	WKLE02001615_1:3635-2907	WKLE02001615_1:3710-2703	WKLE02006786_1:29-1471	WKLE02000418_1:54564-56309	WKLE02001329_1:14342-12303	WKLE02006814_1:144-1	WKLE02000418_1:50682-49492	WKLE02003169_1:6921-8594	WKLE02006732_1:871-1668	WKLE02000689_1:34402-35217	NA	NA	NA	WKLE02001215_1:4520-4858
Synedra_acus_sac1	2740-gene	NA	NA	NA	21613-gene	15420-gene	NA	26914-gene	23730-gene	20708-gene	4907-gene	NA	NA	NA	22646-gene
Licmophora_abbreviata_CCMP470	NA	OLMU01005660_1:2706-1963	OLMU01002431_1:1170-184	OLMU01005381_1:5619-7040	OLMU01002616_1:15308-13500	OLMU01001464_1:847-2295	OLMU01005536_1:575-384	OLMU01000795_1:599-1759	OLMU01004926_1:12004-13761	OLMU01005533_1:787-1578	OLMU01000581_1:8924-8121	NA	NA	NA	OLMU01003438_1:25120-24665
Psammoneis_japonica_ASM863298v1	QPGO01000179_1:78777-77344	NA	NA	NA	QPGO01000173_1:150466-151248	QPGO01000424_1:20275-21876	NA	QPGO01000094_1:34813-33953	QPGO01000173_1:76113-74773	QPGO01000186_1:131566-131459	QPGO01000057_1:371040-371795	NA	NA	NA	QPGO01000097_1:117908-117147
Bacillariophyta_sp_ASM1036716v1	JAACSZ010001335_1:6209-5148	NA	NA	JAACSZ010000817_1:12465-14243	JAACSZ010001753_1:2543-4360	JAACSZ010001385_1:11900-13975	NA	JAACSZ010001403_1:89662-91020	JAACSZ010001495_1:12622-10514	NA	JAACSZ010000501_1:7862-7353	JAACSZ010001268_1:353-45	JAACSZ010001165_1:7116-7000	NA	JAACSZ010001362_1:25558-26091
Bacillariophyta_sp_ASM1036717v1	JAACPG010000494_1:3516-2455	JAACPG010003195_1:7119-7952	JAACPG010003195_1:7011-8042	NA	JAACPG010000413_1:569-2386	JAACPG010001277_1:276-587	NA	JAACPG010002227_1:390-1640	NA	NA	JAACPG010000447_1:3243-2734	JAACPG010000121_1:7251-7559	JAACPG010000301_1:3155-3039	NA	JAACPG010003106_1:3887-3108
Bacillariophyta_sp_ASM1329908v1	JAAFKC010001670_1:4506-2533	NA	NA	JAAFKC010003499_1:3542-3823	JAAFKC010004228_1:2785-998	JAAFKC010001595_1:1797-157	JAAFKC010004496_1:2763-2554	JAAFKC010001210_1:3282-2056	JAAFKC010002472_1:1146-3179	JAAFKC010005729_1:1041-1844	JAAFKC010000933_1:9981-9703	NA	JAAFKC010002248_1:635-802	NA	JAAFKC010006204_1:137-3
