QueryId	SubjectId	Identity(%)	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
TPK1	AGNL01049998_1	33.333	117	50	3	13	129	2203	1937	2.35e-17	55.8	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_37245	1387	3310	-	2070
PHO5_11_12	BDSP01000010_1	36.111	36	23	0	45	80	42562	42455	3.1	30.8	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_38Lh016	42107	44485	-	42508.5
thiM	BDSP01000016_1	42.308	26	15	0	48	73	119828	119751	3.3	30	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_3Lh338	118588	120965	-	119789.5
THTPA	BDSP01000016_1	36.154	260	134	6	36	275	681562	682305	6.12e-40	148	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_3Lh610	680337	682621	+	681933.5
NTPCR	BDSP01000036_1	45.455	22	12	0	3	24	71449	71514	0.68	30.8	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_9Hh198	70496	73067	+	71481.5
ACP1	BDSP01000041_1	27.551	98	59	3	68	156	164349	164633	0.51	30.8	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_22Lh078	158462	164956	+	164491
PHO	BDSP01000050_1	47.222	36	17	1	420	455	117583	117482	0.77	33.1	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_1Hh094	117167	122195	-	117532.5
thiI	BDSP01000060_1	33.784	74	43	3	86	154	284780	284562	1.2	32.3	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Hh604	284382	285444	-	284671
TPK1	BDSP01000061_1	28.92	287	125	11	6	266	20134	20835	3.24e-20	90.5	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_17Hh021	19827	21755	-	20484.5
E2.5.1.2	BDSP01000075_1	24.528	106	71	2	275	371	116719	116402	0.48	33.9	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_8Hh036	114263	117325	-	116560.5
THI20	BDSP01000082_1	43.243	37	18	2	457	493	103360	103259	1.1	32.7	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_11Hh245	102269	104745	-	103309.5
THI5	BDSP01000094_1	23.938	259	174	7	5	254	30038	29304	2.08e-10	62.8	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_6Hh163	26808	32155	-	29671
thiF	BDSP01000111_1	44.262	244	126	6	8	244	478385	477663	1.21e-42	155	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_5Hh351	475630	478659	+	478024
tenI	BDSP01000122_1	32.857	70	44	2	139	205	141440	141231	0.24	32.7	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_24Hh155	140920	142355	-	141335.5
thiK	BDSP01000130_1	48.571	35	15	2	51	83	219777	219676	1.7	30.8	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Lh123	218973	220584	-	219726.5
thiDN	BDSP01000132_1	27.193	114	75	4	68	175	318620	318285	2.17e-5	47.8	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_26Hh136	317566	319179	-	318452.5
thiO	BDSP01000134_1	31.707	82	35	2	290	350	188548	188303	0.12	35	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_3Lh084	188137	189975	-	188425.5
thiH	BDSP01000173_1	26.667	75	55	0	249	323	38147	38371	4	30.4	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_30Hh018	36796	40883	+	38259
ylmB	BDSP01000186_1	28.846	104	69	1	83	181	87029	86718	1.15e-5	48.5	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_17Lh163	85417	87705	-	86873.5
phoA	BDSP01000193_1	34.043	47	31	0	113	159	63608	63468	0.044	37.4	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_15Hh117	60827	65305	-	63538
thiN	BDSP01000199_1	32.5	80	42	4	110	183	189977	190198	0.21	32.7	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_21Hh032	189146	191040	+	190087.5
THI4	BDSP01000204_1	41.86	43	25	0	88	130	22885	22757	0.12	35	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_20Hh007	20509	23605	-	22821
thiD	BDSP01000205_1	25.581	86	64	0	90	175	277153	276896	5.1	29.3	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_26Lh136	275691	277659	-	277024.5
thi4	BDSP01000207_1	51.429	35	17	0	27	61	77055	77159	0.002	40	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_4Lh271	76886	79585	+	77107
rsgA	BDSP01000207_1	34.615	104	50	6	117	203	545723	546031	0.027	37	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_4Lh492	543692	546957	+	545877
dxs	BDSP01000223_1	78.331	743	130	7	3	730	420962	423142	0	1178	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_5Lh466	420555	423279	+	422052
adk	BDSP01000234_1	75	136	34	0	171	306	121855	121448	5.06e-56	196	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_6Hh065	121391	122475	-	121651.5
THI6	BDSP01000235_1	29.114	79	52	1	53	127	63549	63313	0.015	38.9	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_4Hh530	62736	64380	+	63431
thiC	BDSP01000235_1	32.692	52	35	0	178	229	144187	144342	1.3	32.7	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_4Hh486	143696	147725	-	144264.5
thiL	BDSP01000246_1	29.333	75	51	2	67	139	44849	44625	4.6	29.6	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_1Lh706	44147	48575	-	44737
thiDE	BDSP01000253_1	38.298	47	29	0	3	49	405377	405237	0.16	35.8	Fistulifera_solaris_Fsol_1.0	-	BDSP01000253_1:405377-405237				405307
thiG	BDSP01000259_1	28.846	104	64	4	50	148	71384	71088	3	30	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_13Hh355	69417	71735	-	71236
tenA	BDSP01000259_1	25.974	77	56	1	105	180	418979	418749	0.032	35.8	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_13Hh185	417979	419057	-	418864
iscS	BDSP01000278_1	82.878	403	64	3	2	399	128392	129600	0	667	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_33Hh020	128086	129750	+	128996
iscS	BLYE01000001_1	86.352	381	52	0	20	400	198907	197765	0	660	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:198907-197765				198336
thiF	BLYE01000001_1	39.306	173	100	3	42	211	281249	280737	4.02e-27	110	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:281249-280737				280993
THTPA	BLYE01000001_1	35.95	242	139	10	40	277	568770	569459	1.5e-29	118	Nitzschia_putrida_Nputr_1.0	+	BLYE01000001_1:568770-569459				569114.5
rsgA	BLYE01000001_1	32.143	112	59	7	117	212	599064	598732	0.001	40.8	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:599064-598732				598898
PHO	BLYE01000001_1	25	120	75	3	278	392	1087115	1087444	0.46	33.5	Nitzschia_putrida_Nputr_1.0	+	BLYE01000001_1:1087115-1087444				1087279.5
PHO5_11_12	BLYE01000001_1	26.804	97	56	3	301	392	1087184	1087444	1	32.3	Nitzschia_putrida_Nputr_1.0	+	BLYE01000001_1:1087184-1087444				1087314
TH2	BLYE01000001_1	31.915	47	27	2	227	272	3485934	3485806	6	30	Nitzschia_putrida_Nputr_1.0	-	BLYE01000001_1:3485934-3485806				3485870
phoA	BLYE01000002_1	25	84	56	2	249	329	518312	518073	0.14	35.4	Nitzschia_putrida_Nputr_1.0	-	BLYE01000002_1:518312-518073				518192.5
thiD	BLYE01000003_1	23.913	92	67	2	177	266	725015	724743	4.4	29.3	Nitzschia_putrida_Nputr_1.0	-	BLYE01000003_1:725015-724743				724879
thiC	BLYE01000004_1	45.714	35	19	0	91	125	407555	407659	2	32	Nitzschia_putrida_Nputr_1.0	+	BLYE01000004_1:407555-407659				407607
adk	BLYE01000009_1	72.993	137	37	0	171	307	73425	73015	9.41e-85	216	Nitzschia_putrida_Nputr_1.0	-	BLYE01000009_1:73425-73015				73220
thiDN	BLYE01000012_1	32.353	102	62	3	77	173	319586	319885	7.27e-10	62	Nitzschia_putrida_Nputr_1.0	+	BLYE01000012_1:319586-319885				319735.5
THI20	BLYE01000012_1	39.583	48	28	1	122	169	319667	319807	0.8	33.1	Nitzschia_putrida_Nputr_1.0	+	BLYE01000012_1:319667-319807				319737
NTPCR	BLYE01000012_1	30.488	82	53	2	15	96	571863	572096	0.19	32.7	Nitzschia_putrida_Nputr_1.0	+	BLYE01000012_1:571863-572096				571979.5
thiG	BLYE01000016_1	42.373	59	28	2	118	174	219063	218899	0.39	32.7	Nitzschia_putrida_Nputr_1.0	-	BLYE01000016_1:219063-218899				218981
thi4	BLYE01000020_1	55.172	29	13	0	33	61	393590	393504	0.046	35.8	Nitzschia_putrida_Nputr_1.0	-	BLYE01000020_1:393590-393504				393547
thiM	BLYE01000021_1	30.12	83	54	2	156	235	15081	15326	6.7	28.9	Nitzschia_putrida_Nputr_1.0	+	BLYE01000021_1:15081-15326				15203.5
TPK1	BLYE01000024_1	31.119	286	126	11	3	266	376596	375886	1.68e-26	108	Nitzschia_putrida_Nputr_1.0	-	BLYE01000024_1:376596-375886				376241
thiK	BLYE01000026_1	36.17	47	27	2	79	124	211331	211465	0.19	33.9	Nitzschia_putrida_Nputr_1.0	+	BLYE01000026_1:211331-211465				211398
ACP1	BLYE01000040_1	36.585	41	26	0	45	85	67512	67634	0.47	30.8	Nitzschia_putrida_Nputr_1.0	+	BLYE01000040_1:67512-67634				67573
THI5	BLYE01000046_1	30.952	42	28	1	192	232	98069	97944	3.4	30	Nitzschia_putrida_Nputr_1.0	-	BLYE01000046_1:98069-97944				98006.5
tenA	BLYE01000058_1	37.736	53	27	3	120	170	14941	15087	1.1	30.8	Nitzschia_putrida_Nputr_1.0	+	BLYE01000058_1:14941-15087				15014
tenI	BLYE01000075_1	32.857	70	44	2	139	205	43209	43000	1.2	30.4	Nitzschia_putrida_Nputr_1.0	-	BLYE01000075_1:43209-43000				43104.5
thiN	BLYE01000088_1	35.417	48	26	2	86	133	185042	184914	0.7	31.2	Nitzschia_putrida_Nputr_1.0	-	BLYE01000088_1:185042-184914				184978
dxs	BLYE01000093_1	30.709	127	81	5	422	544	37765	38136	6.98e-5	47	Nitzschia_putrida_Nputr_1.0	+	BLYE01000093_1:37765-38136				37950.5
thiO	BLYE01000112_1	28.061	196	108	7	195	363	39171	38602	1.18e-6	51.2	Nitzschia_putrida_Nputr_1.0	-	BLYE01000112_1:39171-38602				38886.5
TENA_E	BLYE01000138_1	33.333	42	20	1	9	42	39944	39819	9.1	27.3	Nitzschia_putrida_Nputr_1.0	-	BLYE01000138_1:39944-39819				39881.5
ylmB	BLYE01000157_1	33.735	83	55	0	83	165	133952	133704	5.02e-6	49.7	Nitzschia_putrida_Nputr_1.0	-	BLYE01000157_1:133952-133704				133828
thiE	BLYE01000158_1	25	92	61	2	72	163	40585	40334	1.5	30.4	Nitzschia_putrida_Nputr_1.0	-	BLYE01000158_1:40585-40334				40459.5
THI4	BLYE01000158_1	52	25	12	0	86	110	104342	104416	1.3	31.6	Nitzschia_putrida_Nputr_1.0	+	BLYE01000158_1:104342-104416				104379
thiI	BLYE01000191_1	31.707	82	54	1	132	213	33235	32996	2.2	31.6	Nitzschia_putrida_Nputr_1.0	-	BLYE01000191_1:33235-32996				33115.5
thiH	BLYE01000210_1	28	100	71	1	75	174	33775	33479	0.66	32.7	Nitzschia_putrida_Nputr_1.0	-	BLYE01000210_1:33775-33479				33627
thiL	BLYE01000215_1	27.027	111	72	5	199	306	139387	139701	0.007	38.5	Nitzschia_putrida_Nputr_1.0	+	BLYE01000215_1:139387-139701				139544
thiI	CAACVS010000011_1	31.746	63	43	0	92	154	151416	151228	2	32	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0005650	151117	152365	-	151322
thiL	CAACVS010000043_1	45	20	11	0	306	325	120465	120524	3.5	30.4	Pseudo-nitzschia_multistriata_ASM90066040v1	+	CAACVS010000043_1:120465-120524				120494.5
iscS	CAACVS010000060_1	78.972	428	62	1	1	400	115099	116382	0	676	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0021880	114636	116870	+	115740.5
thiN	CAACVS010000063_1	31.034	58	38	1	122	179	117790	117623	0.042	35	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0023650	116676	118565	+	117706.5
thiH	CAACVS010000069_1	24.051	158	107	7	85	234	71025	70567	2.4	31.2	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0025370	69967	71665	-	70796
E2.5.1.2	CAACVS010000077_1	22.807	171	102	7	317	460	76047	76550	1.4	32.3	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0028250	75567	77145	-	76298.5
PHO	CAACVS010000084_1	29.167	72	45	1	364	435	64484	64287	1.5	32.3	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0030610	61406	65477	+	64385.5
thiM	CAACVS010000130_1	41.86	43	24	1	125	167	503	378	1.2	31.6	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0043380	1	775	-	440.5
thiC	CAACVS010000170_1	82.382	613	97	5	11	617	17613	15790	0	1019	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0053000	15536	17705	-	16701.5
THI5	CAACVS010000190_1	44.444	36	19	1	254	288	1694	1801	3.2	30.4	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0056630	1	2245	-	1747.5
TPK1	CAACVS010000214_1	28.472	288	134	11	3	266	191073	190354	3.84e-20	90.5	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0061590	190257	191365	-	190713.5
TENA_E	CAACVS010000218_1	56	25	11	0	14	38	17584	17658	3.2	28.9	Pseudo-nitzschia_multistriata_ASM90066040v1	+	CAACVS010000218_1:17584-17658				17621
thiG	CAACVS010000225_1	33.333	63	41	1	159	221	226241	226056	0.63	32.3	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	226148.5
tenI	CAACVS010000225_1	30.275	109	72	3	89	193	226382	226056	4.18e-6	47.4	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	226219
THI6	CAACVS010000225_1	38.333	60	36	1	38	96	226592	226413	0.002	41.6	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	226502.5
thiE	CAACVS010000225_1	38.071	197	108	6	9	194	226664	226083	1.81e-27	109	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	226373.5
thiDE	CAACVS010000225_1	33.725	255	115	6	337	539	227732	226974	1.53e-26	116	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	227353
thiD	CAACVS010000225_1	30.625	320	147	10	19	266	227747	226797	1.74e-28	114	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	227272
thiDN	CAACVS010000225_1	38.122	181	104	2	4	177	227789	227250	1.31e-24	108	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	227519.5
THI20	CAACVS010000225_1	33.453	278	137	5	24	256	227792	226968	1.78e-24	109	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	227380
TH2	CAACVS010000247_1	42.746	386	162	9	72	433	19292	20344	2.63e-74	254	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0068030	18996	20447	+	19818
phoA	CAACVS010000261_1	28.947	76	53	1	324	398	1831	2058	7.7	30	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0070290	286	3947	+	1944.5
rsgA	CAACVS010000274_1	38.333	120	52	5	142	247	10576	10241	6.13e-8	54.7	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0072230	9935	11815	-	10408.5
ylmB	CAACVS010000330_1	25.188	266	179	8	12	261	2160	2945	7e-9	58.9	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0079730	2006	3800	+	2552.5
ACP1	CAACVS010000367_1	26.471	34	25	0	64	97	10889	10788	0.43	31.2	Pseudo-nitzschia_multistriata_ASM90066040v1	-	CAACVS010000367_1:10889-10788				10838.5
NTPCR	CAACVS010000418_1	32.189	233	94	9	7	178	14350	13661	2.66e-16	76.3	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0090850	13165	14575	-	14005.5
dxs	CAACVS010000420_1	76.045	718	108	4	76	730	9899	7749	0	1108	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0091530	7677	10045	-	8824
THTPA	CAACVS010000467_1	32.476	311	142	13	26	278	10869	11771	6.39e-30	119	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0096680	10436	12930	+	11320
thiK	CAACVS010000506_1	36.667	60	34	1	120	179	75816	75983	3.9	29.6	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0100130	75681	77685	-	75899.5
thi4	CAACVS010000552_1	61.29	31	12	0	31	61	4817	4909	0.001	41.2	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0105130	4606	7920	+	4863
tenA	CAACVS010000564_1	22.68	194	136	5	18	197	14790	15371	1.73e-6	49.3	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0106000	14756	15729	+	15080.5
adk	CAACVS010000582_1	72.35	217	58	1	92	306	72270	72920	1.91e-96	312	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0107990	71886	73710	+	72595
thiO	CAACVS010000647_1	28.653	349	205	13	39	349	129447	128419	1.75e-27	115	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116010	127294	129925	-	128933
thiF	CAACVS010000650_1	40.828	169	95	3	45	210	48578	49078	6.88e-31	111	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116770	44786	49839	+	48828
PHO5_11_12	CAACVS010000683_1	35.185	54	27	4	289	341	111596	111736	0.94	32.7	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0122280	108476	113225	-	111666
THI4	CAACVS010000694_1	50	36	13	1	87	117	72267	72374	0.2	34.7	Pseudo-nitzschia_multistriata_ASM90066040v1	+	gene-PSNMU_V1.4_AUG-EV-PASAV3_0124020	71606	78850	+	72320.5
thiO	CM000605_1	30.028	353	206	12	45	363	328183	329220	3.64e-34	134	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_31544	326727	330132	+	328701.5
thiL	CM000605_1	35.366	82	44	4	191	266	1253213	1253449	0.93	31.2	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_42826	1249962	1253665	+	1253331
TH2	CM000605_1	28.571	49	32	1	236	281	1841661	1841807	8.8	28.5	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_43029	1837167	1843226	+	1841734
ylmB	CM000606_1	34.483	87	57	0	83	169	1422643	1422903	5.29e-8	55.1	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_18404	1422266	1424634	+	1422773
thiH	CM000607_1	30.435	46	30	1	227	272	468978	469109	1.9	30.4	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_33839	469016	470065	-	469043.5
thiI	CM000607_1	36.111	36	23	0	316	351	985847	985740	3.2	30	Phaeodactylum_tricornutum_ASM15095v2	-	gene-PHATRDRAFT_44590	984749	986934	-	985793.5
iscS	CM000607_1	100	400	0	0	1	400	1142984	1144183	0	801	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_34119	1142984	1144186	+	1143583.5
thiF	CM000608_1	40.164	244	136	6	8	244	415272	415994	3.61e-37	138	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_34373	415179	416435	+	415633
tenA	CM000609_1	23.438	192	130	5	52	230	426543	427106	1.08e-4	42.7	Phaeodactylum_tricornutum_ASM15095v2	+	gene-PHATRDRAFT_45181	426459	427039	+	426824.5
